ano,regiao,sigla_uf,unidade_geografica,localizacao,dependencia,CO_ENTIDADE,IN_ENERGIA_REDE_PUBLICA,IN_AGUA_POTAVEL,IN_COMPUTADOR
2024,Norte,RO,Rondônia,Urbana,Estadual,11048018,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11050870,0,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11049812,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11022221,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11022230,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11017775,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11017791,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11017422,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11031700,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11032260,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11032510,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11033070,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11048956,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11000260,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11000317,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11000384,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11000597,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11000678,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11000708,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11000856,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11001046,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11001119,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11001135,1,0,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11001143,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11001283,1,1,1
